CustomerID,SignupDate,CustomerArchetype,FirstName,LastName,Email,Phone,Country,State,City,Address
CUST-00001,2023-01-14,Premium Enthusiasts,Klaus-Ulrich,Fritsch,klaus.ulrich.fritsch.00001@de.kupferkanne.test,+49(0) 252159617,DE,North Rhine-Westphalia,Dortmund,"Ditschlerinring 9736, Dortmund"
CUST-00002,2023-01-09,One-Time Buyers,Adelbert,Meyer,adelbert.meyer.00002@de.kupferkanne.test,01710291190,DE,North Rhine-Westphalia,Cologne,"Catharina-Schenk-Gasse 6/9, Cologne"
CUST-00003,2023-01-25,Coffee Regulars,Vincent,Lercher,vincent.lercher.00003@at.kupferkanne.test,+43 561035980035,AT,Salzburg,Salzburg,"Reindlstr. 7, Salzburg"
CUST-00004,2023-01-09,One-Time Buyers,Heinz-Wilhelm,Hövel,heinz.wilhelm.hovel.00004@de.kupferkanne.test,+49(0)8683 724056,DE,North Rhine-Westphalia,Dusseldorf,"Mike-Keudel-Allee 70-97, Dusseldorf"
CUST-00005,2023-01-18,Coffee Regulars,Uli,Börner,uli.borner.00005@de.kupferkanne.test,0294342024,DE,Berlin,Berlin,"Klotzstraße 5, Berlin"
CUST-00006,2023-01-21,Gift Buyers,Marta,Jungwirth,marta.jungwirth.00006@at.kupferkanne.test,+43 2749 25008 316,AT,Vienna,Vienna,"Nicholas-Jung-Ring 285, Vienna"
CUST-00007,2023-01-24,One-Time Buyers,Viktoria,Atzler,viktoria.atzler.00007@de.kupferkanne.test,00326157595,DE,Bavaria,Nuremberg,"Rädelallee 9/4, Nuremberg"
CUST-00008,2023-01-19,Occasional Explorers,Nils,Röhricht,nils.rohricht.00008@de.kupferkanne.test,09298903384,DE,Bavaria,Augsburg,"Luise-Eigenwillig-Platz 2/5, Augsburg"
CUST-00009,2023-01-07,Occasional Explorers,Janna,Kortman,janna.kortman.00009@nl.kupferkanne.test,+31276-986327,NL,North Holland,Amsterdam,"Jaysondreef 757, Amsterdam"
CUST-00010,2023-01-27,Coffee Regulars,Franz Josef,Rosemann,franz.josef.rosemann.00010@de.kupferkanne.test,07305542978,DE,Bavaria,Nuremberg,"Mariusz-Holsten-Weg 91-59, Nuremberg"
CUST-00011,2023-01-21,Gift Buyers,Krystian,Pyś,krystian.pys.00011@pl.kupferkanne.test,+48 796 471 984,PL,Lower Silesian,Legnica,"Graniczna 770, Legnica"
CUST-00012,2023-01-13,Occasional Explorers,Gertraud,Lehmann,gertraud.lehmann.00012@de.kupferkanne.test,0425849262,DE,North Rhine-Westphalia,Dusseldorf,"Bergerplatz 3/6, Dusseldorf"
